Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name
ELEC,City of Nanaimo - Underground Parking Lot,101 Gordon St,,Nanaimo,BC,V9R 5J6,,250-754-4251,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,49.1647704,-123.9361473,2020-03-05,83426,2021-06-07 17:08:43 UTC,P,,,2017-02-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Fulford Community Hall,2591 Fulford-Ganges Rd,,Salt Spring Island,BC,V8K 1Z4,,,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,48.772431,-123.465926,2022-08-09,83491,2022-08-09 21:18:29 UTC,P,,,2020-08-21,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free; donations accepted,Gratuit; dons acceptés,,,,,,,,,FALSE,,,,,
ELEC,Poets Cove Resort and Spa,9801 Spalding Rd,,Pender Island,BC,V0N 2M3,,250-629-2100,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,48.748128,-123.22717,2022-08-09,83492,2022-08-09 21:18:29 UTC,P,,,2017-05-17,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,City of Merritt - City Hall,2185 Voght St,Located on the front posts of the building,Merritt,BC,V1K 1R6,,250-378-4224,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,50.112488,-120.788241,2022-07-08,83527,2022-07-08 16:02:07 UTC,P,,,2014-06-15,,,,,J1772,CA,Située sur les poteaux avant du btiment,Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,North Shore Kia,855 W 1st St,,North Vancouver,BC,V7P 1A4,,,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,49.31766019,-123.0967029,2022-04-13,83550,2022-04-26 16:04:15 UTC,P,,,2021-02-09,,,,,J1772,CA,,Heures d’ouverture du concessionnaire,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,British Columbia Institute of Technology - Centre for Applied Research and Innovation,4355 Mathissi Pl,,Burnaby,BC,V5G 4S8,,604-451-6875,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,49.246145,-123.004204,2019-04-09,83732,2021-06-07 17:08:43 UTC,P,,,2011-03-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,Gratuit,,,,,,,,HYDRO,FALSE,,,,,
ELEC,Morrey Nissan,2710 Lougheed Hwy,,Port Coquitlam,BC,V3B 6P2,,604-464-9291,E,,Public - Call ahead,"8am-9pm M-Th, 8am-6pm F, 8:30-6pm Sat, 12pm-5pm Sun; For customers only",,,,,,1,,,Non-Networked,,200-9,49.27199,-122.788224,2022-04-13,83733,2022-04-28 20:01:31 UTC,P,,,2018-05-24,,,,,J1772,CA,,"8:00-21:00 LUN-JEU, 8:00-18:00 VEN, 8:30-17:00 DIM; Pour client seulement",,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,TRUE,,,,,
ELEC,BC Hydro - Dunsmuir Office,333 Dunsmuir St,,Vancouver,BC,V6B 5R4,,800-224-9376,E,,Public - Call ahead,"7am-8pm M-F, 9am-5pm Sat; for staff and visitor use only",,,,,,5,,,Non-Networked,,200-9,49.281774,-123.11286,2022-04-13,83849,2022-07-26 14:30:40 UTC,T,,,2013-07-15,,,,,J1772,CA,,"7:00-20:00 LUN-VEN, 9:00-17:00 SAM; Ã  l'usage des employÃ©s et des visiteurs seulement",,Public - Appeler à l'avance,,public,CALL,,UTILITY,,,,,,,,,,,,,,,,,TRUE,,,,,
ELEC,Peavey Mart,2121 Trans Canada Hwy,,Kamloops,BC,V2C 4A6,,250-374-0717,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,50.647522,-119.93725,2022-04-13,83923,2022-09-01 20:05:57 UTC,P,,,2017-02-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Peavey Mart,1300 Alaska Ave,,Dawson Creek,BC,V1G 1Z3,,250-782-4056,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,55.761714,-120.23592,2022-04-13,83924,2022-09-01 20:05:57 UTC,P,,,2017-02-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Fairmont Hotel,1038 Canada Pl,,Vancouver,BC,V6C 0B9,,604-695-5300,E,,Public,24 hours daily; parking fee required; valet required,,,,,,2,,,Non-Networked,,200-8,49.288205,-123.11568,2022-04-13,84029,2022-04-26 16:04:15 UTC,P,,,2016-06-15,,,,,J1772,CA,,24 heures par jour; ouvert tous les jours frais de stationnement requis; vallée requise,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Kamloops Visitor Centre,1290 W Trans Canada Hwy,,Kamloops,BC,V2C 6R3,,250-372-8000,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,50.65485162,-120.3679324,2022-07-08,84039,2022-07-08 16:02:07 UTC,P,,,2013-12-25,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,TRAVEL_CENTER,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Liquidity Wines,4720 Allendale Rd,,Okanagan Falls,BC,V0H 1R2,,778-515-5550,E,,Public - Call ahead,24 hours daily; by reservation only; see front desk for access,,,,,,1,,,Non-Networked,,200-9,49.322841,-119.548607,2018-03-08,84042,2022-04-28 20:01:31 UTC,P,,,2015-09-01,,,,,J1772,CA,,Accessible 24 heures par jour; par rÃ©servation seulement; veuillez vous prÃ©sentez Ã  la rÃ©ception pour avoir accÃ¨s,,Public - Appeler à l'avance,,public,CALL,,RESTAURANT,,,,,,,Free,Gratuit,,,,,,,,,TRUE,,,,,
ELEC,Pender Harbour Hotel,12671 Sunshine Coast Hwy,,Madeira Park,BC,V0N 2H1,,604-883-9013,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,49.622909,-124.020729,2021-08-03,84048,2022-06-20 22:46:35 UTC,P,,,2015-12-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Best Western - Sicamous Inn,806 Trans Canada Hwy,,Sicamous,BC,V0E 2V0,,250-836-4117,E,,Public,24 hours daily; see front desk for access,,,,,,1,,,Non-Networked,,200-9,50.838666,-118.969672,2022-02-10,84049,2022-04-28 20:01:31 UTC,P,,,2015-03-15,,,,,J1772,CA,,24 heures par jour; Voir la réception pour avoir accès,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,TRUE,,,,,
ELEC,Blackhills Wine Experience Centre,4190 Black Sage Rd,Located on loading dock shed at north end of parking lot,Oliver,BC,V0H 1T1,,250-498-0666,E,,Public,11am-5pm daily,,,,,,1,,,Non-Networked,,200-9,49.108884,-119.55065,2021-09-09,84125,2022-04-26 16:04:15 UTC,P,,,2012-03-15,,,,,J1772,CA,Située dans le batiment Winemakers au nord du stationnement,11:00-17:00 tous les jours,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
